dataset,task,feature_family,n_subjects,n_features,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd
ds004504,AD_vs_HC,Hard,65,16,0.8069230769230771,0.09373093414800286,0.8060595238095238,0.09559683143349068,0.8196368286855903,0.09151777986216758,0.8617976190476191,0.08897261038078313
ds004504,AD_vs_HC,Trajectory,65,16,0.8253846153846154,0.07873165260395622,0.8277440476190476,0.08109659221291084,0.8331667677008234,0.07744858335463652,0.8536428571428573,0.09170434562285247
ds004504,AD_vs_HC,Combined,65,32,0.8376923076923077,0.08942333801166655,0.8390238095238096,0.09068698861737029,0.8457144014396338,0.08765115226487738,0.8876428571428572,0.08312259135691696
